index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22
1556,405-0872631-6885912,04-29-22,Shipped,Amazon,Amazon.in,Expedited,J0008,J0008-SKD-M,Set,M,B0894YTN3H,Shipped,1,INR,1065.0,Debra,WEST BENGAL,721140.0,IN,,False,,
1557,405-5857636-6725930,04-29-22,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-XL,Western Dress,XL,B099NQJZPQ,Shipped,1,INR,744.0,AHMEDABAD,Gujarat,382330.0,IN,,False,,
1558,403-2464746-2140361,04-29-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0108,J0108-SKD-XL,Set,XL,B08V1JND9P,Shipped,1,INR,1149.0,Agartala,TRIPURA,799010.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,Easy Ship,
1559,404-8275879-8967507,04-29-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0098,J0098-TP-M,Top,M,B092D2R649,Shipped,1,INR,413.0,HYDERABAD,TELANGANA,500062.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,Easy Ship,
1560,405-3603310-7293153,04-29-22,Shipped,Amazon,Amazon.in,Expedited,J0089,J0089-TP-XXL,Top,XXL,B092D27VN5,Shipped,1,INR,360.0,BENGALURU,KARNATAKA,560066.0,IN,,False,,
1561,408-2507164-5337918,04-29-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,MEN5014,MEN5014-KR-XL,kurta,XL,B08YYZM8WL,Shipped,1,INR,499.0,EGRA,WEST BENGAL,721429.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-DELQQPYRTQEMS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,Easy Ship,
1562,407-4481525-0793109,04-29-22,Shipped,Amazon,Amazon.in,Expedited,J0402,J0402-DR-L,Western Dress,L,B09SDXW42C,Shipped,1,INR,825.0,Navi Mumbai,MAHARASHTRA,400706.0,IN,,False,,
1563,407-7566435-1837162,04-29-22,Shipped,Amazon,Amazon.in,Expedited,J0301,J0301-TP-M,Top,M,B099S9DTR2,Shipped,1,INR,463.0,HYDERABAD,TELANGANA,500090.0,IN,,False,,
1564,407-9290394-4403500,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3861,JNE3861-DR-L,Western Dress,L,B09SDYG7YP,Shipped,1,INR,791.0,PUNE,MAHARASHTRA,411006.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
1565,403-4714019-2209928,04-29-22,Shipped,Amazon,Amazon.in,Expedited,SET229,SET229-KR-PP-L,Set,L,B08QGM4GQB,Shipped,1,INR,888.0,FAIZABAD,UTTAR PRADESH,224001.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
